番号,氏名,離職時の年齢,離職時の官職,出身府省庁（推定）,離職日,再就職日,再就職先の名称,再就職先の業務内容,再就職先における地位,求職の承認の有無,センター援助の有無
1208,小森　成人,58,近畿運輸局和歌山運輸支局長,国土交通省,2024-04-01,2024-06-11,一般社団法人大阪バス協会,バス事業の適正な運営及び健全な発展に資する業務,常務理事,無,無
1209,昆　一彦,60,北陸信越運輸局新潟運輸支局長,国土交通省,2024-04-01,2024-05-01,新潟地方交通共済協同組合,事業用トラックの自動車保険業務（共済保険）,事務局長,無,無
1210,斉藤　敦志,60,北海道開発局小樽開発建設部次長,国土交通省,2024-04-01,2024-07-01,一般財団法人港湾空港総合技術センター,港湾、空港等の建設技術調査研究、事業実施の支援等,北海道支部副支部長,無,無
1211,斎藤　英明,57,国土交通省海事局付,国土交通省,2024-04-01,2024-06-20,一般財団法人日本海事協会,船級関連業務等,会長付参与,無,無
1212,斎藤　英明,57,国土交通省海事局付,国土交通省,2024-04-01,2024-07-01,一般社団法人日本造船工業会,造船業振興関連業務等,審議役,無,無
1213,齊藤　仁伸,60,東北運輸局鉄道部長,国土交通省,2024-04-01,2024-07-16,一般社団法人宮城県自動車整備振興会,自動車整備事業の適正な運営と健全な発展に関する業務,役員室室長,無,無
1214,佐々木　敏行,60,東京航空局次長,国土交通省,2024-04-01,2024-07-01,北海道エアポート株式会社,北海道内7空港の運営業務、管理委託業務等,空港事業本部空港部担当部長,無,無
1215,佐藤　博昭,60,東北運輸局自動車技術安全部長,国土交通省,2024-04-01,2024-07-01,一般社団法人宮城県自動車販売店協会,自動車の普及促進、自動車販売店の地位向上及び発展に関する業務,常務理事,無,無
1216,鴫原　茂,60,国土交通省港湾局付,国土交通省,2024-04-01,2024-07-01,株式会社クローバーエンジニアリング,建設コンサルタント、一般労働者派遣事業,顧問,無,無
1217,島谷　邦博,59,海上保安庁第十一管区海上保安本部長,海上保安庁,2024-04-01,2024-07-01,株式会社JERA,電力供給事業等,調達統括部上席推進役 兼 O&M・エンジニアリング運営統括部（管理監督者）,無,無
1218,関　宏治,58,国土交通省港湾局付,国土交通省,2024-04-01,2024-07-01,一般財団法人港湾空港総合技術センター,港湾、空港等の建設技術調査研究、事業実施の支援等,建設マネジメント研究所上席研究員,無,無
1219,祖父江　公昭,60,東京航空局新千歳空港事務所総務部長,総務省,2024-04-01,2024-07-01,一般財団法人空港振興・環境整備支援機構,空港周辺の環境対策及び駐車場運営事業,高知事務所長,無,有
1220,高木　繁,60,中国地方整備局中国技術事務所長,国土交通省,2024-04-01,2024-07-01,一般社団法人中国建設弘済会,災害の防止や国土の利用・整備・保全を目的とする広報・調査・助成事業,企画本部副本部長,無,無
1221,髙桑　昌明,57,国土交通省北海道局付,国土交通省,2024-04-01,2024-07-03,株式会社東海リライアンス,オフィスビルの総合管理,一般職,無,有※
1222,髙桑　昌明,57,国土交通省北海道局付,国土交通省,2024-04-01,2024-10-01,株式会社ビケンテクノ,オフィスビル等の総合管理,東京本部一般職員,無,無
1223,髙﨑　勝行,60,四国地方整備局総務部総括調整官,総務省,2024-04-01,2024-07-01,株式会社建設マネジメント四国,建設コンサルタント業務、補償コンサルタント業務,徳島営業所副所長,無,無
1224,高野　雄太,56,国土交通省大臣官房付,国土交通省,2024-04-01,2024-07-01,一般財団法人全国建設研修センター,建設技術等に関する研修、講習及び試験等,事務局総務部長,無,無
1225,髙橋　一浩,58,北海道開発局留萌開発建設部長,国土交通省,2024-04-01,2024-07-01,一般財団法人北海道河川財団,北海道の河川に関する調査研究及び技術開発,常任参与,無,無
1226,高橋　秀典,60,東北地方整備局東北技術事務所長,国土交通省,2024-04-01,2024-07-01,ケミカルグラウト株式会社,建設業,東北支店技師長,無,無
1227,髙橋　慶久,60,北海道開発局建設部河川工事課長,国土交通省,2024-04-01,2024-07-01,一般財団法人石狩川振興財団,石狩川等の河川流域及び治水事業に係る情報の整備提供,参事,無,無
1228,高美　之治,59,中国運輸局海事振興部長,国土交通省,2024-04-01,2025-01-06,自営,被災地での震災復興支援業務公費解体に係る申請受付、関係書類審査等,-,無,無
1229,髙森　治,60,関東地方整備局企画部技術開発調整官（沖縄総合事務局南部国道事務所長）,国土交通省,2024-04-01,2024-07-01,一般財団法人先端建設技術センター,建設事業に係る先端的な技術に関する調査研究、開発及び普及,技術調査部次長,無,無
1230,竹内　充,60,中部地方整備局用地部長,国土交通省,2024-04-01,2024-07-01,公益財団法人自転車駐車場整備センター,自転車駐車場建設・管理に係る業務,名古屋事務所次長,無,無
1231,竹田　正彦,57,国土交通省大臣官房付,国土交通省,2024-04-01,2024-07-01,一般財団法人建設物価調査会,建設工事に関する工事費及び資材価格、労務費の実態調査と調査成果の提供,常任参与,無,無
1232,武森　範之,60,東京航空局成田空港事務所総務部長,総務省,2024-04-01,2024-07-01,一般財団法人空港振興・環境整備支援機構,空港周辺の環境対策及び駐車場運営事業,駐車場事業部部長代理,無,有
1233,忠政　和則,60,中国運輸局自動車技術安全部長,国土交通省,2024-04-01,2024-05-01,一般社団法人島根県自動車整備振興会,自動車整備事業の適正な運営と健全な発展に関する業務,嘱託職員,無,無
1234,忠政　和則,60,中国運輸局自動車技術安全部長,国土交通省,2024-04-01,2024-06-15,一般社団法人島根県自動車整備振興会,自動車整備事業の適正な運営と健全な発展に関する業務,専務理事,無,無
1235,忠政　和則,60,中国運輸局自動車技術安全部長,国土交通省,2024-04-01,2024-06-15,島根県自動車整備商工組合,自動車整備事業の中小企業者の改善発達を図るための必要な事業,専務理事,無,無
1236,竪山　孝治,59,東京航空局新千歳空港事務所管制保安部長,国土交通省,2024-04-01,2024-07-01,株式会社サンネクト,情報通信に関する設備の設計・施工・保守、航空気象観測通報及び空港運用業務,常務取締役,無,無
1237,田中　秀一,59,中部運輸局岐阜運輸支局長,国土交通省,2024-04-01,2024-07-16,一般社団法人三重県自動車整備振興会,自動車整備事業の適正な運営と健全な発展に関する業務,総務部長,無,無
1238,田中　秀一,59,中部運輸局岐阜運輸支局長,国土交通省,2024-04-01,2024-07-16,三重県自動車整備商工組合,自動車整備事業の中小企業者の改善発達を図るための必要な事業,総務部長,無,無
1239,田中　独歩,60,国土交通省海事局付,国土交通省,2024-04-01,2024-06-12,一般社団法人日本舶用機関整備協会,舶用機関整備業の経営基盤の強化、舶用機関整備技術の向上等,専務理事,無,無
1240,田中　信行,60,国土交通省海事局付,国土交通省,2024-04-01,2024-06-06,一般社団法人日本造船協力事業者団体連合会,造船協力業の発展及び造船業の生産性の向上を図る,常務理事,無,無
1241,谷内　寿,60,国土交通省航空局安全部安全政策課外国航空機安全対策官,国土交通省,2024-04-01,2024-07-01,成田国際空港株式会社,成田国際空港の設置及び管理,嘱託（空港運用部門総合安全推進部オペレーションセンター 兼 部付参与）,無,無
1242,千木良　敦之,59,国土交通省大臣官房付,国土交通省,2024-04-01,2024-06-01,一般財団法人道路管理センター,道路管理システムの運用、高度化等,企画業務部長,無,無
1243,恒光　友義,60,大阪航空局中部空港事務所長,国土交通省,2024-04-01,2024-07-01,株式会社レイメイ,調査・研究・コンサルティング業務,管制・飛行方式設計部航空管制担当部長,無,無
1244,椿　勇三,59,中国地方整備局総務部総括調整官,総務省,2024-04-01,2024-07-01,一般社団法人中国建設弘済会,災害の防止や国土の利用・整備・保全を目的とする広報・調査・助成事業,管理本部長,無,無
1245,富田　宏行,59,国土交通省海事局船員政策課雇用対策室長,国土交通省,2024-04-01,2024-07-01,一般財団法人海技振興センター,水先人養成確保の支援、船舶運航等の調査研究等,総務・振興部長,無,無
1246,内木　義昭,60,北海道運輸局自動車技術安全部長,国土交通省,2024-04-01,2024-06-01,一般社団法人札幌地方自動車整備振興会,自動車整備事業の適正な運営と健全な発展に関する業務,事務局長,無,無
1247,中静　友則,55,国土交通省水管理・国土保全局水政課水利調整室長,国土交通省,2024-04-01,2024-07-01,一般財団法人河川情報センター,河川・流域情報の収集・加工・発信、河川・流域情報に関する調査・研究,首席参与 兼 総務部長,無,無
1248,永島　和弘,60,関東運輸局総務部長,総務省,2024-04-01,2024-06-07,一般社団法人神奈川県トラック協会,貨物自動車運送事業に関する指導、調査及び研究,専務理事,無,無
1249,中島　譲治,60,東京航空交通管制部次長,国土交通省,2024-04-01,2024-07-01,三菱電機株式会社,重電システム・産業メカトロニクス・情報通信システム等の製造・販売業,常勤嘱託ITソリューションシステム第二部技術顧問,無,無
1250,長瀬　昌宏,57,国土交通省大臣官房付,国土交通省,2024-04-01,2024-06-01,一般財団法人日本建設情報総合センター,建設事業の円滑な執行に資する情報システムの調査研究、開発・改良及び運用・保守等,総務部長,無,無
1251,中田　修一,57,国土交通省大臣官房付,国土交通省,2024-04-01,2024-07-01,一般社団法人建設技能人材機構,建設分野における特定技能外国人等の受け入れ事業等,管理部長,無,無
1252,永田　眞一,60,国土交通省航空局交通管制部運用課飛行検査センター所長,国土交通省,2024-04-01,2024-07-01,スカイマーク株式会社,空運業,嘱託社員（品質保証部業務監理課）,無,無
1253,中塚　勝弘,60,中部運輸局海事振興部長,国土交通省,2024-04-01,2024-06-03,名古屋港運協会,港湾運送事業に関する調査研究等,常務理事,無,無
1254,中野　英樹,57,国土交通省大臣官房付,国土交通省,2024-04-01,2024-07-01,一般財団法人道路管理センター,道路占用管理システムの開発、運用,企画業務部次長,無,無
1255,中村　卓司,59,国土交通省海事局安全技術調査官,国土交通省,2024-04-01,2024-06-01,一般社団法人日本舶用工業会,舶用工業の進歩発達等のための事業,業務部長,無,無
1256,成宮　文彦,59,近畿地方整備局統括防災官,国土交通省,2024-04-01,2024-07-01,公益財団法人河川財団,河川に関する活動（調査研究・啓発活動等）に対する助成と普及事業、河川に関する調査・研究とその成果の普及事業等,近畿事務所次長,無,無
1257,西　博之,59,中国地方整備局統括防災官,国土交通省,2024-04-01,2024-07-01,株式会社東京建設コンサルタント,建設コンサルタント業,中国支社技師長,無,無
1258,羽山　登志哉,59,海上保安庁第三管区海上保安本部長,海上保安庁,2024-04-01,2024-07-01,ヤンマーパワーテクノロジー株式会社,エンジンの開発、製造、販売、サービス,特機事業部専任部長,無,無
1259,原澤　正則,58,国土交通省鉄道局付,国土交通省,2024-04-01,2024-07-01,一般社団法人日本民営鉄道協会,鉄道事業の安全・安定輸送向上推進,総務広報部部長,無,無
1260,日色　徳彦,60,北海道開発局函館開発建設部次長,国土交通省,2024-04-01,2024-07-01,一般社団法人寒地港湾空港技術研究センター,寒冷地における港湾・空港に関する調査研究,第2調査研究部長,無,無
1261,樋口　博,60,九州運輸局海事振興部長,国土交通省,2024-04-01,2024-05-20,九州地方海運組合連合会,内航海運業の経済的地位の改善及び内航海運事業の安定化に資する事業,専務理事,無,無
1262,久内　伸夫,59,近畿地方整備局広報広聴対策官,国土交通省,2024-04-01,2024-07-01,一般財団法人日本建設情報総合センター,建設事業の円滑な執行に資する情報システムの調査研究、開発・改良及び運用・保守等,近畿地方センター長,無,有※
1263,平岡　弘志,60,東北地方整備局能代河川国道事務所長,国土交通省,2024-04-01,2024-07-01,一般社団法人東北地域づくり協会,公益事業等,道路技術部長,無,無
1264,平田　哲人,56,国土交通省大臣官房付,国土交通省,2024-04-01,2024-10-01,日本電設工業株式会社,電気工事業,顧問,無,無
1265,平山　孝治,60,国土交通省大臣官房福利厚生課長,国土交通省,2024-04-01,2024-06-05,一般財団法人運輸振興協会,運輸に係る知識の啓蒙、広報、周知活動業務,専務理事,無,無
1266,深澤　和晃,57,国土交通省大臣官房付,国土交通省,2024-04-01,2024-06-01,一般社団法人日本補償コンサルタント協会,補償コンサルタント業務従事者の資質向上に向けた指導、同業務の啓発、業務に関する情報提供等を実施,試験事業部長,無,無
1267,福澤　隆志,60,国土交通省大臣官房参事官,国土交通省,2024-04-01,2024-07-01,一般財団法人港湾空港総合技術センター,港湾、空港等の建設技術調査研究、事業実施の支援等,参与,無,無
1268,福島　和則,60,九州運輸局自動車技術安全部長,国土交通省,2024-04-01,2024-04-22,一般社団法人佐賀県自動車整備振興会,自動車整備事業の適正な運営と健全な発展に関する業務,参与,無,無
1269,福島　和則,60,九州運輸局自動車技術安全部長,国土交通省,2024-04-01,2024-06-07,一般社団法人佐賀県自動車整備振興会,自動車整備事業の適正な運営と健全な発展に関する業務,常務理事,無,無
1270,増田　安弘,59,近畿地方整備局近畿技術事務所長,国土交通省,2024-04-01,2024-07-01,一般社団法人近畿建設協会,国土の利用、整備又は保全を目的とする事業、災害防止事業,技術部長,無,無
1271,増元　博智,60,東京航空局東京空港事務所空港安全部長,国土交通省,2024-04-01,2024-07-01,一般財団法人航空保安協会,空港内消防等業務管理・監督,本部調査役,無,無
1272,松平　信治,59,北陸地方整備局新潟国道事務所長,国土交通省,2024-04-01,2024-07-01,一般社団法人北陸地域づくり協会,建設コンサルタント関係業務,企画事業部長,無,無
1273,丸田　智治,60,国土交通省大臣官房官庁営繕部計画課保全情報分析官（国土交通省大臣官房官庁営繕部整備課施設評価室長）,国土交通省,2024-04-01,2024-07-01,一般財団法人建築コスト管理システム研究所,建築の生産コストに関する調査研究,参事,無,無
1274,水口　猛,60,北海道運輸局観光部長,国土交通省,2024-04-01,2024-06-01,北海道エアポート株式会社,空港運営事業,営業開発本部観光開発部担当部長,無,無
1275,水谷　雅裕,57,国土交通省港湾局付,国土交通省,2024-04-01,2024-07-01,株式会社ポルテック,建設コンサルタント業務、人材派遣業務等,参与,無,無
1276,光武　加津美,60,九州地方整備局総務部総括調整官,総務省,2024-04-01,2024-07-01,株式会社九州建設マネジメントセンター,建設コンサルタントに関する事業等,上席参事,無,無
1277,見並　融,60,東京航空局東京空港事務所施設部長,国土交通省,2024-04-01,2024-07-01,パシフィックコンサルタンツ株式会社,建設コンサルタント業,技術顧問,無,無
1278,三根　徹,60,九州運輸局自動車交通部長,国土交通省,2024-04-01,2024-04-26,一般社団法人福岡市タクシー協会,タクシー事業の業務適正化、輸送の安全及び利用者利便の確保,専務理事,無,無
1279,宮島　博和,60,大阪航空局大分空港事務所長,国土交通省,2024-04-01,2024-07-01,株式会社有電社,電気工事、電気通信工事、管工事、機械器具設置工事、工事資材の販売,エンジニアリング本部技術顧問（空港部門）,無,無
1280,宮本　弘治,60,大阪航空局那覇空港事務所施設部長,国土交通省,2024-04-01,2024-07-01,株式会社日本空港コンサルタンツ,建設コンサルタント業,国内業務本部担当部長,無,無
1281,村上　隆幸,59,中部運輸局三重運輸支局長,国土交通省,2024-04-01,2024-07-01,一般社団法人日本港湾福利厚生協会,港湾労働者の福利厚生事業,第一業務部次長 兼 日本港湾福祉センター長,無,無
1282,村上　隆幸,59,中部運輸局三重運輸支局長,国土交通省,2024-04-01,2024-07-01,株式会社シーパレス,ホテル業,取締役,無,無
1283,村上　良明,60,近畿運輸局海事振興部次長,国土交通省,2024-04-01,2024-06-01,株式会社辰巳商会,海運業、港湾運送業、倉庫業等,管理本部本部長付調査役,無,無
1284,村越　慶次,60,北海道開発局建設部建設行政課長,国土交通省,2024-04-01,2024-07-01,一般財団法人北海道河川財団,北海道の河川に関する調査研究及び技術開発,総務部参事,無,無
1285,村田　潔,58,海上保安庁首席監察官,海上保安庁,2024-04-01,2024-07-01,明治安田生命保険相互会社,生命保険業,顧問,無,無
1286,森　毅彦,58,国土交通省大臣官房付,国土交通省,2024-04-01,2024-07-01,公益財団法人不動産流通推進センター,不動産流通市場の整備、不動産業の振興等,常務理事,無,無
1287,森本　英二,60,四国地方整備局統括防災官,国土交通省,2024-04-01,2024-07-01,株式会社ウエスコ,総合建設コンサルタント,執行役員（技術推進本部四国地区統括愛媛事務所駐在）,無,無
1288,森本　励,58,国土交通省大臣官房付,国土交通省,2024-04-01,2024-08-01,株式会社日建技術コンサルタント,建設コンサルタント業,技術顧問,無,無
1289,梁取　利男,60,北陸信越運輸局総務部長,総務省,2024-04-01,2024-05-07,新潟県ハイヤー交通共済協同組合,交通共済事業,専務理事事務取扱,無,無
1290,梁取　利男,60,北陸信越運輸局総務部長,総務省,2024-04-01,2024-06-06,新潟県ハイヤー交通共済協同組合,交通共済事業,専務理事,無,無
1291,山梨　高裕,56,北海道開発局稚内開発建設部長,国土交通省,2024-04-01,2024-07-01,株式会社森川組,建設業,技術顧問,無,無
1292,山根　勇,60,東京航空局東京空港事務所次長,国土交通省,2024-04-01,2024-07-01,一般財団法人港湾空港総合技術センター,港湾、空港等の建設技術調査研究、事業実施の支援等,空港施設高度化戦略室長,無,無
1293,吉永　保博,60,九州地方整備局広報広聴対策官,国土交通省,2024-04-01,2024-07-01,一般社団法人九州地域づくり協会,国土の利用、整備、保全及び災害の防止等に関する事業の円滑な推進,上席参事,無,無
1294,吉本　紀一,56,国土交通省大臣官房付,国土交通省,2024-04-01,2024-07-01,一般社団法人建設電気技術協会,建設事業における電気技術に関する調査研究等,建設電気技術研究所所長,無,無
1295,米川　佳宏,60,国土交通省海事局付,国土交通省,2024-04-01,2024-06-01,株式会社ジャパンエンジンコーポレーション,各種原動機及びその関連付属装置の開発、製造、販売等,技術部門参与,無,無
1296,若林　英樹,60,北海道開発局室蘭開発建設部次長,国土交通省,2024-04-01,2024-07-01,株式会社北開水工コンサルタント,河川事業に関する調査、設計等のコンサルタント,執行役員技師長,無,無
1297,渡部　辰博,60,神戸航空交通管制部総務管理官,総務省,2024-04-01,2024-06-01,一般財団法人航空機安全運航支援センター,飛行場における航空保安業務の支援等の事業,総務課長,無,無
1298,渡辺　浩昭,60,運輸安全委員会事務局参事官,国土交通省,2024-04-01,2024-06-17,公益財団法人海難審判・船舶事故調査協会,海難審判等に関する調査研究事業等,事務局長,無,無
1299,渡邉　浩,60,東京航空局総務部長,総務省,2024-04-01,2024-07-01,一般財団法人航空機安全運航支援センター,飛行場における航空保安業務・飛行場管理業務の支援事業,総務部長,無,無
1300,伊藤　卓郎,58,海上保安庁大阪海上保安監部長,海上保安庁,2024-04-15,2024-07-01,日本海エル・エヌ・ジー株式会社,液化天然ガス事業,港湾保安担当調査役,無,無
1301,小野　有司,59,海上保安庁名古屋海上保安部長,海上保安庁,2024-04-15,2024-08-01,上野マリタイム・ジャパン株式会社,海上警戒・防災、船舶代理店、通関業,顧問,無,無
1302,木下　敏和,59,海上保安庁東京海上保安部長,海上保安庁,2024-04-15,2024-08-01,りんかい日産建設株式会社,総合建設業（土木、建築）等,土木本部顧問 兼 安全環境品質室顧問,無,無
1303,小倉　修一,58,海上保安庁横浜海上保安部長,海上保安庁,2024-04-15,2024-08-01,大成建設株式会社,建設工事全般に関する業務,土木本部土木技術部理事,無,無
1304,谷　清仁,60,海上保安庁伏木海上保安部長,海上保安庁,2024-04-15,2024-06-01,三重県,地方公務,防災対策部災害即応・連携課主幹,無,無
1305,野久保　薫,59,海上保安庁海上保安大学校副校長,海上保安庁,2024-04-15,2024-08-01,日本電気株式会社,電気機器の製造・販売,参与,無,無
1306,安尾　博志,60,海上保安庁神戸海上保安部長,海上保安庁,2024-04-15,2024-07-01,若築建設株式会社,建設業,常任顧問,無,無
1307,鈴木　徹,58,国土交通省港湾局付,国土交通省,2024-05-01,2024-08-01,一般財団法人港湾空港総合技術センター,港湾、空港等の建設技術調査研究、事業実施の支援等,審議役,無,無
1308,上村　昇,56,国土交通省大臣官房付,国土交通省,2024-06-25,2024-10-15,一般財団法人水源地環境センター,水源地の環境に関する調査研究、技術開発、技術指導等,審議役,無,無
1309,伊藤　康行,61,国土交通省都市局公園緑地・景観課長,国土交通省,2024-06-30,2024-10-01,一般社団法人日本造園建設業協会,造園に関する調査研究、広報活動、技術向上事業等,上席調査役,無,無
1310,遠藤　和重,60,国土交通省大臣官房付,国土交通省,2024-06-30,2024-10-01,一般財団法人日本建設情報総合センター,公共事業の工事・業務の実績等の情報提供,コリンズ・テクリスセンター長,無,無
1311,武藤　聡,61,国土交通省大臣官房付,国土交通省,2024-06-30,2024-10-01,一般社団法人関東地域づくり協会,国土づくりに関する事業の円滑な推進を図るもの,参与,無,無
1312,秋月　聡二郎,60,国土交通省大臣官房官庁営繕部長,国土交通省,2024-07-01,2024-10-01,一般財団法人建築コスト管理システム研究所,建築物のコストに関する調査研究,審議役,無,無
1313,上森　康幹,57,国土交通省大臣官房付,国土交通省,2024-07-01,2024-10-01,公益社団法人全国市街地再開発協会,市街地の再開発等に関する情報提供、相談、調査研究,専務理事,無,無
1314,石井　昌平,59,海上保安庁長官,海上保安庁,2024-07-01,2024-12-01,名工建設株式会社,建設業,顧問（非常勤）,無,無
1315,石橋　洋信,57,国土交通省大臣官房技術総括審議官,国土交通省,2024-07-01,2024-11-01,三井住友海上火災保険株式会社,損害保険業,顧問,無,無
1316,石谷　俊史,56,国土交通省大臣官房付,国土交通省,2024-07-01,2024-12-01,株式会社コバック,自動車整備業,顧問,無,無
1317,板屋　英治,58,国土交通省水管理・国土保全局防災課災害分析官（東北地方整備局河川部長）,国土交通省,2024-07-01,2024-09-01,一般財団法人水源地環境センター,ダム水源地等に関する調査、研究,技術参与,無,無
1318,市川　篤志,59,国土交通省大臣官房付,国土交通省,2024-07-01,2024-10-01,三井住友信託銀行株式会社,金融業,顧問,無,無
1319,市川　篤志,59,国土交通省大臣官房付,国土交通省,2024-07-01,2024-11-01,自営,コンサルティング,-,無,無
1320,伊藤　真澄,59,国土交通省海事局付,国土交通省,2024-07-01,2024-09-01,一般財団法人日本海事協会,船舶の検査、登録、認証、研究開発等,企画本部企画部契約社員,無,無
1321,岩月　理浩,56,国土交通省大臣官房付,国土交通省,2024-07-01,2024-11-05,日本郵船株式会社,海運業,アドバイザー,無,無
1322,岩月　理浩,56,国土交通省大臣官房付,国土交通省,2024-07-01,2025-02-01,一般財団法人日本気象協会,気象事業等に関する指導・相談,参与,無,無
1323,植木　暁司,57,国土交通省大臣官房審議官（官庁営繕部担当）,国土交通省,2024-07-01,2024-10-01,一般財団法人建築保全センター,建築物等の保全に関する総合的な調査研究及び技術開発,審議役,無,無
1324,上原　淳,60,国土交通審議官,国土交通省,2024-07-01,2024-11-01,一般財団法人運輸総合研究所,交通運輸及び観光に関する研究調査等,理事長,無,無
1325,浦山　洋一,59,国土交通省大臣官房付,国土交通省,2024-07-01,2024-10-01,一般財団法人河川情報センター,河川・流域情報の収集、処理・加工、解析、保管、提供に関する調査研究及び技術開発,技術参与,無,無
1326,遠藤　仁彦,58,国土交通省北海道局付,国土交通省,2024-07-01,2024-10-01,一般社団法人寒地港湾空港技術研究センター,寒冷地における港湾・空港に関する調査研究,審議役,無,無
1327,遠藤　仁彦,58,国土交通省北海道局付,国土交通省,2024-07-01,2024-10-03,アイディア株式会社,船舶管制システムの開発・運用,専務執行役員,無,無
1328,遠藤　仁彦,58,国土交通省北海道局付,国土交通省,2024-07-01,2025-02-19,一般社団法人寒地港湾空港技術研究センター,寒地港湾空港技術及び港湾・空港の利活用に関する調査研究等,専務理事,無,無
1329,大釜　達夫,59,国土交通省港湾局付,国土交通省,2024-07-01,2024-10-01,株式会社横河NSエンジニアリング,鋼構造物の設計、製作、施工、保全、工事監理等,技術顧問,無,無
1330,岡村　次郎,58,国土交通省大臣官房付,国土交通省,2024-07-01,2024-12-01,一般財団法人日本建設情報総合センター,建設事業の円滑な執行に資する情報システムの調査研究等,顧問,無,無
1331,小野田　吉純,59,国土交通省大臣官房付,国土交通省,2024-07-01,2024-10-01,公益社団法人日本建築士会連合会,建築士の社会的地位の向上、業務の進歩改善に関する事業,参与,無,無
1332,小野寺　誠一,58,国土交通省大臣官房海外プロジェクト審議官,国土交通省,2024-07-01,2024-10-01,一般財団法人国土技術研究センター,社会資本整備や建設技術等に関する調査研究,研究総括監,無,無
1333,小野寺　誠一,58,国土交通省大臣官房海外プロジェクト審議官,国土交通省,2024-07-01,2025-03-26,一般財団法人国土技術研究センター,社会資本整備や建設技術等に関する調査研究,業務執行理事,無,無
1334,海谷　厚志,57,国土交通省海事局長,国土交通省,2024-07-01,2024-12-16,京浜急行電鉄株式会社,鉄道事業,嘱託社員,無,無
1335,勝山　潔,57,国土交通省大臣官房付,国土交通省,2024-07-01,2024-10-25,一般社団法人日本民営鉄道協会,鉄道事業の安全・安定輸送向上推進,常務理事,無,無
1336,川口　泉,58,国土交通省鉄道局付,国土交通省,2024-07-01,2024-10-25,一般社団法人日本民営鉄道協会,鉄道事業の安全・安定輸送向上推進,審議役,無,無
1337,川口　泉,58,国土交通省鉄道局付,国土交通省,2024-07-01,2024-12-01,一般社団法人日本民営鉄道協会,鉄道事業の安全・安定輸送向上推進,常務理事,無,無
1338,河南　正幸,57,国土交通省大臣官房付,国土交通省,2024-07-01,2024-10-01,一般財団法人橋梁調査会,橋梁の性能評価、審査、検査に関する調査･研究･開発等,審議役 兼 企画部長,無,無
1339,菊池　雅彦,59,国土交通省大臣官房技術審議官,国土交通省,2024-07-01,2024-10-01,国立大学法人東京大学,教育・研究,東京大学大学院工学系研究科社会基盤学専攻特任研究員,無,無
1340,柊平　健,59,国土交通省大臣官房付,国土交通省,2024-07-01,2024-10-01,一般財団法人建築コスト管理システム研究所,建築コスト、積算、システム化等に関する調査研究,審議役,無,無
1341,久米　英輝,59,国土交通省港湾局付,国土交通省,2024-07-01,2024-10-01,特定非営利活動法人海上GPS利用推進機構,GPS等の衛星を利用した位置測定技術に関する普及促進等,顧問,無,無
1342,小林　靖,59,国土交通省大臣官房付,国土交通省,2024-07-01,2024-11-01,東京ガスネットワーク株式会社,ガス導管による都市ガスの供給等,顧問,無,無
1343,榊　真一,59,国土交通審議官,国土交通省,2024-07-01,2024-10-01,損害保険ジャパン株式会社,保険業,顧問,無,無
1344,佐々木　隆,59,国土交通省大臣官房付,国土交通省,2024-07-01,2024-10-01,一般財団法人ダム技術センター,ダム事業に関わる調査研究及び技術協力等,審議役,無,無
1345,佐々木　淑充,57,国土交通省大臣官房付,国土交通省,2024-07-01,2024-10-01,一般財団法人日本ダム協会,ダム、堰等に関する調査研究、啓蒙等,審議役,無,無
1346,佐々木　淑充,57,国土交通省大臣官房付,国土交通省,2024-07-01,2024-11-07,一般財団法人日本ダム協会,ダム、堰等に関する調査研究、啓蒙等,専務理事,無,無
1347,前佛　和秀,57,国土交通省大臣官房付,国土交通省,2024-07-01,2024-12-01,一般財団法人道路交通情報通信システムセンター,道路交通情報の収集、処理及びドライバーへの提供,専務理事,無,無
1348,髙桒　圭一,55,国土交通省大臣官房付,国土交通省,2024-07-01,2024-11-18,一般社団法人全国自治体ライドシェア連絡協議会,地域公共交通の活性化に関する自治体及び交通事業者に対する助言支援等,理事,無,無
1349,髙桒　圭一,55,国土交通省大臣官房付,国土交通省,2024-07-01,2025-02-01,株式会社オリエンタルランド,テーマパークの運営等,クルーズ事業準備室理事,無,無
1350,髙橋　一郎,59,観光庁長官,観光庁,2024-07-01,2024-12-01,日本空港ビルデング株式会社,羽田空港ターミナルビルの管理運営,常勤顧問,無,無
1351,筒井　智紀,57,国土交通省大臣官房審議官（国土政策局担当）,国土交通省,2024-07-01,2024-10-01,公益財団法人マンション管理センター,マンション管理の適正化の推進,統括役,無,無
1352,寺本　耕一,56,国土交通省大臣官房付,国土交通省,2024-07-01,2024-10-01,一般財団法人道路開発振興センター,道路事業分野における調査及び道路開発に資する長期資金の供給事業等,常任参与,無,無
1353,寺本　耕一,56,国土交通省大臣官房付,国土交通省,2024-07-01,2024-11-01,一般財団法人道路開発振興センター,道路事業分野における調査及び道路開発に資する長期資金の供給事業等,常務理事,無,無
1354,寺本　耕一,56,国土交通省大臣官房付,国土交通省,2024-07-01,2024-07-02,自営業,不動産賃貸業,-,無,無
1355,中谷　育夫,57,国土交通省大臣官房運輸安全監理官,国土交通省,2024-07-01,2024-10-01,株式会社アクテス,IT関連業,特別参与,無,無
